Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __TypeDFC9E93152D6CC05()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,18,2,M:Microsoft.Maui.Controls.ResourceDictionary.#ctor,,,,,"[global::System.CodeDom.Compiler.GeneratedCode(""Microsoft.Maui.Controls.SourceGen"", ""1.0.0.0"")]  		public __TypeDFC9E93152D6CC05()  		{  			InitializeComponent();  		}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Colors.xaml.sg.cs,16,79,T:Microsoft.Maui.Controls.ResourceDictionary,,,,,ResourceDictionary
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,24,2,T:Microsoft.Maui.Controls.BindingMode,,,,,private static bool ShouldUseSetter(BindingMode mode)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,27,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,27,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,27,15,F:Microsoft.Maui.Controls.BindingMode.Default,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,26,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,26,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,26,15,F:Microsoft.Maui.Controls.BindingMode.TwoWay,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,25,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
